Cu source	Ligand	Ligand equiv.	Base	Base equiv.	Solvent	Molarity	T [°C]	BnNH2 equiv.	Yield of 3aa	Conversion of 1a	Round	Acquisition type
Br[Cu]	O=n2cccc1cccc(O)c12	0.1	C(=O)([O-])[O-].[K+].[K+]	2	Cc1ccccc1	1	80	1.5	10.86	38.64	7	EI
Br[Cu]	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.05	C(=O)([O-])[O-].[K+].[K+]	2	OCC	1	80	1.5	73.58	100.00	7	EI
Cl[Cu]	O=n2cccc1cccc(O)c12	0.1	C(=O)([O-])[O-].[K+].[K+]	0.5	CC(C)CO	1	80	1.5	47.36	84.63	7	EI
[Cu]I	O=n2cccc1cccc(O)c12	0.1	C(=O)([O-])[O-].[K+].[K+]	0.5	OCC	1	80	1.5	56.24	95.67	7	EI
Cl[Cu]	O=n2cccc1cccc(O)c12	0.1	C(=O)([O-])[O-].[K+].[K+]	2	OCC	1	80	1.1	59.07	84.11	7	EI
Cl[Cu]	O=n2cccc1cccc(O)c12	0.1	C(=O)([O-])[O-].[K+].[K+]	0.5	OCC	1	60	1.5	43.18	52.66	7	EI
Cl[Cu]	OCCO	0.1	C(=O)([O-])[O-].[K+].[K+]	0.5	OCC	1	80	1.5	20.53	39.52	7	EI
[Cu]I	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.05	[Cs+].[Cs+].[O-]C([O-])=O	2	OCC	0.5	80	1.1	0.00	100.00	8	EI
[Cu]O[Cu]	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.05	NaOtBu	2	OCC	1	80	1.5	0.00	99.18	8	EI
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.05	C(=O)([O-])[O-].[K+].[K+]	2	OCC	1	80	1.1	62.02	100.00	8	EI
[Cu]I	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.05	C(=O)([O-])[O-].[K+].[K+]	2	OCC	1	80	1.5	47.68	100.00	8	EI
Br[Cu]	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.05	[K+].[OH-]	2	OCC	1	80	1.5	0.00	100.00	8	EI
Br[Cu]	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.05	C(=O)([O-])[O-].[K+].[K+]	2	OCC	0.5	80	1.5	75.29	100.00	8	EI
Br[Cu]	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.1	C(=O)([O-])[O-].[K+].[K+]	2	OCC	1	80	1.1	64.95	100.00	8	EI
Br[Cu]	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.05	[K+].[K+].[K+].[O-]P([O-])([O-])=O	2	OCC	1	80	1.5	85.51	100.00	8	EI
Br[Cu]	OCCO	0.1	[K+].[K+].[K+].[O-]P([O-])([O-])=O	0.5	CC(C)CO	0.5	60	1.5	4.10	25.05	9	EI
Br[Cu]	C1C[C@H](NC1)C(=O)O	0.05	[K+].[K+].[K+].[O-]P([O-])([O-])=O	2	O1C(C)CCC1	1	80	1.5	08.07	19.30	9	EI
Br[Cu]	O=n2cccc1cccc(O)c12	0.1	[K+].[K+].[K+].[O-]P([O-])([O-])=O	2	OCC	0.5	80	1.5	67.93	100.00	9	EI
Br[Cu]	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.05	[K+].[K+].[K+].[O-]P([O-])([O-])=O	0.5	Cc1ccccc1	1	80	1.5	07.01	14.24	9	EI
Br[Cu]	CN(C)CCO	0.05	[K+].[K+].[K+].[O-]P([O-])([O-])=O	2	OCC	1	60	1.5	13.96	70.39	9	EI
Br[Cu]	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.1	[K+].[K+].[K+].[O-]P([O-])([O-])=O	2	CS(=O)C	1	80	1.5	87.20	100.00	9	EI
Br[Cu]	Cc1cccc(C)c1NC(=O)C(=O)O	0.05	C(=O)([O-])[O-].[K+].[K+]	2	OCC	1	80	1.5	74.88	100.00	9	EI
Br[Cu]	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.05	C(=O)([O-])[O-].[K+].[K+]	2	ACN	1	80	1.5	26.63	37.14	9	EI
Cl[Cu]	Cc1cccc(C)c1NC(=O)C(=O)O	0.1	C(=O)([O-])[O-].[K+].[K+]	2	CS(=O)C	1	80	1.1	53.35	76.41	10	EI
Br[Cu]	Cc1cccc(C)c1NC(=O)C(=O)O	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	2	CS(=O)C	0.5	80	1.5	22.88	89.09	10	EI
Br[Cu]	O=n2cccc1cccc(O)c12	0.1	C(=O)([O-])[O-].[K+].[K+]	2	CS(=O)C	1	80	1.5	60.61	97.51	10	EI
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	Cc1cccc(C)c1NC(=O)C(=O)O	0.1	C(=O)([O-])[O-].[K+].[K+]	2	OCC	1	80	1.5	77.58	94.23	10	EI
[Cu]I	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.1	[K+].[K+].[K+].[O-]P([O-])([O-])=O	2	CS(=O)C	0.5	80	1.5	71.21	98.66	10	EI
Br[Cu]	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.1	[K+].[OH-]	2	CS(=O)C	1	80	1.5	5.62	100.00	10	EI
Br[Cu]	Cc1cccc(C)c1NC(=O)C(=O)O	0.1	[K+].[K+].[K+].[O-]P([O-])([O-])=O	2	CS(=O)C	1	80	1.5	82.58	100.00	10	EI
Br[Cu]	Cc1cccc(C)c1NC(=O)C(=O)O	0.1	C(=O)([O-])[O-].[K+].[K+]	2	OCC	0.5	80	1.1	67.38	94.37	10	EI
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	CC(C)C(=O)2CCCc1cccnc12	0.05	[Cs+].[Cs+].[O-]C([O-])=O	2	Cc1ccccc1	0.5	60	1.5	0	06.01	0	UCB
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.05	[Cs+].[Cs+].[O-]C([O-])=O	2	Cc1ccccc1	1	80	1.1	0	2.52	0	UCB
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	Cc1cccc(C)c1NC(=O)C(=O)O	0.05	CCN(CC)CC	1	OCC	0.5	60	1.1	0	11.24	0	UCB
[Cu]O[Cu]	C1CCC(C(C1)N)N	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	2	OCC	1	80	1.5	20.63	74.42	0	UCB
Br[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.1	NaOtBu	0.5	Cc1ccccc1	1	60	1.1	0	34.35	0	UCB
[Cu]O[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.1	CCN(CC)CC	1	O1C(C)CCC1	1	80	1.1	4.61	16.06	0	UCB
Cl[Cu]	OCCO	0.05	[Cs+].[Cs+].[O-]C([O-])=O	1	O1C(C)CCC1	1	60	1.1	0	16.97	0	UCB
[Cu]O[Cu]	O=n2cccc1cccc(O)c12	0.1	NaOtBu	2	O1C(C)CCC1	1	60	1.5	0	63.52	0	UCB
[Cu]O[Cu]	C1CCC(C(C1)N)N	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	2	OCC	0.5	80	1.5	23.35	82.32	1	UCB
[Cu]O[Cu]	C1CCC(C(C1)N)N	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	2	O1C(C)CCC1	1	80	1.1	19.58	42.26	1	UCB
Cl[Cu]	C1CCC(C(C1)N)N	0.05	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	ACN	0.5	80	1.5	10.88	27.43	1	UCB
[Cu]O[Cu]	CCN(CC)C(=O)c1ccccc1O	0.1	[K+].[K+].[K+].[O-]P([O-])([O-])=O	2	OCC	0.5	60	1.5	1.25	75.94	1	UCB
[Cu]O[Cu]	C1C[C@H](NC1)C(=O)O	0.05	[K+].[OH-]	1	OCC	0.5	60	1.1	0.00	86.28	1	UCB
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	Cc2ccc1ccccc1c2NC(=O)C(=O)NCc3ccccc3	0.1	[K+].[K+].[K+].[O-]P([O-])([O-])=O	1	Cc1ccccc1	0.5	60	1.1	0.74	9.38	1	UCB
Br[Cu]	COc2cc(OC)c(NC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC)c(OC)c2	0.05	[Na+].[O-]C(=O)C	0.5	Cc1ccccc1	1	60	1.1	1.80	8.40	1	UCB
[Cu]I	OCCO	0.05	CCN(CC)CC	2	O1C(C)CCC1	0.5	80	1.5	0.63	6.27	1	UCB
[Cu]O[Cu]	C1CCC(C(C1)N)N	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	2	OCC	0.5	80	1.1	16.35	83.18	2	UCB
[Cu]I	C1CCC(C(C1)N)N	0.05	[I-].CCCC[N+](CCCC)(CCCC)CCCC	2	OCC	0.5	80	1.1	15.57	48.52	2	UCB
Br[Cu]	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.1	[K+].[OH-]	0.5	OCC	0.5	80	1.1	25.23	54.80	2	UCB
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	COc2cc(OC)c(NC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC)c(OC)c2	0.05	[Na+].[O-]C(=O)C	1	CC(C)CO	1	60	1.5	5.3	14.66	2	UCB
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	CCN(CC)C(=O)c1ccccc1O	0.05	CCN(CC)CC	0.5	OCC	1	80	1.1	10.76	28.50	2	UCB
[Cu]O[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.1	[Na+].[O-]C(=O)C	2	O1C(C)CCC1	0.5	80	1.5	4.29	12.07	2	UCB
[Cu]O[Cu]	CCN(CC)C(=O)c1ccccc1O	0.1	C(=O)([O-])[O-].[K+].[K+]	1	OCC	0.5	60	1.1	2.95	23.38	2	UCB
Cl[Cu]	C1C[C@H](NC1)C(=O)O	0.1	[Na+].[O-]C(=O)C	1	O1C(C)CCC1	0.5	60	1.5	0.39	6.15	2	UCB
[Cu]O[Cu]	C1CCC(C(C1)N)N	0.1	[K+].[OH-]	0.5	OCC	1	80	1.5	8.82	87.22	3	UCB
Br[Cu]	C1CCC(C(C1)N)N	0.05	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	OCC	1	80	1.1	25.04	64.75	3	UCB
Br[Cu]	O=n2cccc1cccc(O)c12	0.1	C(=O)([O-])[O-].[K+].[K+]	0.5	CC(C)CO	1	80	1.5	45.27	75.70	3	UCB
[Cu]O[Cu]	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	1	O1C(C)CCC1	1	60	1.5	29.29	98.49	3	UCB
[Cu]O[Cu]	Cc2ccc1ccccc1c2NC(=O)C(=O)NCc3ccccc3	0.05	C(=O)([O-])[O-].[K+].[K+]	1	CS(=O)C	0.5	80	1.1	54.48	96.40	3	UCB
Br[Cu]	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.05	[Cs+].[Cs+].[O-]C([O-])=O	1	O1C(C)CCC1	1	60	1.5	10.18	15.09	3	UCB
[Cu]I	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.1	NaOtBu	2	ACN	1	60	1.5	4.5	85.65	3	UCB
[Cu]I	OCCO	0.1	[K+].[OH-]	2	ACN	1	80	1.1	5.91	95.68	3	UCB
[Cu]O[Cu]	Cc2ccc1ccccc1c2NC(=O)C(=O)NCc3ccccc3	0.05	C(=O)([O-])[O-].[K+].[K+]	0.5	CS(=O)C	0.5	80	1.1	39.26	60.69	4	UCB
Br[Cu]	Cc1cccc(C)c1NC(=O)C(=O)O	0.1	C(=O)([O-])[O-].[K+].[K+]	0.5	CS(=O)C	1	80	1.1	25.49	31.25	4	UCB
Br[Cu]	COc2cc(OC)c(NC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC)c(OC)c2	0.1	[K+].[K+].[K+].[O-]P([O-])([O-])=O	2	CS(=O)C	0.5	80	1.1	55.82	80.46	4	UCB
Cl[Cu]	CCN(CC)C(=O)c1ccccc1O	0.05	[K+].[K+].[K+].[O-]P([O-])([O-])=O	0.5	O1C(C)CCC1	0.5	80	1.5	9.11	1.95	4	UCB
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	CCN(CC)C(=O)c1ccccc1O	0.05	[K+].[OH-]	1	OCC	1	60	1.1	26.67	74.67	4	UCB
Cl[Cu]	Cc2ccc1ccccc1c2NC(=O)C(=O)NCc3ccccc3	0.05	NaOtBu	1	OCC	1	60	1.1	26.70	88.25	4	UCB
[Cu]O[Cu]	C1CCC(C(C1)N)N	0.05	[K+].[OH-]	2	OCC	0.5	60	1.5	32.34	100.00	4	UCB
[Cu]I	CN(C)CCO	0.05	[Cs+].[Cs+].[O-]C([O-])=O	0.5	ACN	1	80	1.1	6.56	33.84	4	UCB
Br[Cu]	COc2cc(OC)c(NC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC)c(OC)c2	0.1	C(=O)([O-])[O-].[K+].[K+]	2	CS(=O)C	0.5	80	1.1	66.90	69.89	5	UCB
Br[Cu]	O=n2cccc1cccc(O)c12	0.1	[K+].[K+].[K+].[O-]P([O-])([O-])=O	1	CS(=O)C	0.5	80	1.1	48.73	84.87	5	UCB
[Cu]O[Cu]	COc2cc(OC)c(NC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC)c(OC)c2	0.05	C(=O)([O-])[O-].[K+].[K+]	2	CC(C)CO	0.5	80	1.5	47.50	60.66	5	UCB
[Cu]O[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.05	[K+].[K+].[K+].[O-]P([O-])([O-])=O	1	ACN	1	80	1.5	7.33	21.98	5	UCB
Br[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.1	C(=O)([O-])[O-].[K+].[K+]	0.5	O1C(C)CCC1	1	60	1.5	23.59	56.79	5	UCB
[Cu]O[Cu]	Cc1cccc(C)c1NC(=O)C(=O)O	0.05	[K+].[OH-]	2	ACN	0.5	60	1.1	2.90	56.73	5	UCB
[Cu]I	O=n2cccc1cccc(O)c12	0.1	[K+].[K+].[K+].[O-]P([O-])([O-])=O	1	CS(=O)C	0.5	60	1.1	56.48	80.62	5	UCB
[Cu]O[Cu]	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.1	[K+].[K+].[K+].[O-]P([O-])([O-])=O	1	CS(=O)C	0.5	80	1.5	42.81	57.96	5	UCB
[Cu]O[Cu]	COc2cc(OC)c(NC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC)c(OC)c2	0.1	C(=O)([O-])[O-].[K+].[K+]	2	CS(=O)C	1	80	1.5	78.18	98.86	6	UCB
Br[Cu]	O=n2cccc1cccc(O)c12	0.1	C(=O)([O-])[O-].[K+].[K+]	2	CC(C)CO	0.5	80	1.5	21.94	56.58	6	UCB
Br[Cu]	COc2cc(OC)c(NC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC)c(OC)c2	0.05	NaOtBu	2	Cc1ccccc1	0.5	80	1.5	18.17	63.16	6	UCB
Cl[Cu]	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.05	NaOtBu	1	CS(=O)C	1	80	1.5	10.49	94.19	6	UCB
[Cu]O[Cu]	CCN(CC)C(=O)c1ccccc1O	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	2	CS(=O)C	1	60	1.5	25.92	56.53	6	UCB
Cl[Cu]	Cc2ccc1ccccc1c2NC(=O)C(=O)NCc3ccccc3	0.05	[I-].CCCC[N+](CCCC)(CCCC)CCCC	1	ACN	0.5	80	1.5	9.79	41.04	6	UCB
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	CCN(CC)C(=O)c1ccccc1O	0.1	[K+].[K+].[K+].[O-]P([O-])([O-])=O	1	ACN	0.5	80	1.1	5.45	46.02	6	UCB
Cl[Cu]	O=n2cccc1cccc(O)c12	0.05	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	CC(C)CO	0.5	60	1.1	11.74	32.22	6	UCB
[Cu]O[Cu]	COc2cc(OC)c(NC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC)c(OC)c2	0.1	C(=O)([O-])[O-].[K+].[K+]	2	CS(=O)C	0.5	80	1.5	70.23	100.00	7	UCB
[Cu]O[Cu]	C1CCC(C(C1)N)N	0.1	C(=O)([O-])[O-].[K+].[K+]	2	CS(=O)C	1	80	1.1	24.10	43.03	7	UCB
[Cu]I	Cc2ccc1ccccc1c2NC(=O)C(=O)NCc3ccccc3	0.05	C(=O)([O-])[O-].[K+].[K+]	2	CC(C)CO	1	60	1.5	51.88	82.80	7	UCB
Cl[Cu]	OCCO	0.05	CCN(CC)CC	2	Cc1ccccc1	0.5	80	1.1	1.86	31.57	7	UCB
[Cu]I	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.1	C(=O)([O-])[O-].[K+].[K+]	0.5	ACN	1	60	1.1	10.83	30.43	7	UCB
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	Cc2ccc1ccccc1c2NC(=O)C(=O)NCc3ccccc3	0.05	[Cs+].[Cs+].[O-]C([O-])=O	0.5	OCC	0.5	80	1.5	52.42	74.29	7	UCB
[Cu]O[Cu]	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.05	NaOtBu	1	OCC	1	80	1.1	38.37	100.00	7	UCB
[Cu]I	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.1	C(=O)([O-])[O-].[K+].[K+]	2	CS(=O)C	0.5	80	1.1	47.07	65.46	7	UCB
[Cu]O[Cu]	COc2cc(OC)c(NC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC)c(OC)c2	0.1	[K+].[OH-]	2	CS(=O)C	0.5	80	1.1	9.57	100.00	8	UCB
[Cu]O[Cu]	Cc2ccc1ccccc1c2NC(=O)C(=O)NCc3ccccc3	0.1	C(=O)([O-])[O-].[K+].[K+]	1	CS(=O)C	1	80	1.5	71.22	100.00	8	UCB
[Cu]I	Cc2ccc1ccccc1c2NC(=O)C(=O)NCc3ccccc3	0.05	[K+].[OH-]	0.5	CS(=O)C	1	60	1.5	38.58	54.59	8	UCB
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	Cc1cccc(C)c1NC(=O)C(=O)O	0.05	[K+].[K+].[K+].[O-]P([O-])([O-])=O	0.5	ACN	1	80	1.1	49.85	71.92	8	UCB
[Cu]I	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.1	C(=O)([O-])[O-].[K+].[K+]	2	Cc1ccccc1	0.5	80	1.5	26.13	42.86	8	UCB
[Cu]O[Cu]	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.1	C(=O)([O-])[O-].[K+].[K+]	0.5	CS(=O)C	1	60	1.5	59.25	88.01	8	UCB
[Cu]I	CC(C)C(=O)2CCCc1cccnc12	0.1	NaOtBu	2	CC(C)CO	0.5	80	1.5	0.77	100.00	8	UCB
Br[Cu]	Cc2ccc1ccccc1c2NC(=O)C(=O)NCc3ccccc3	0.05	[Na+].[O-]C(=O)C	1	Cc1ccccc1	0.5	80	1.5	10.72	37.66	8	UCB
[Cu]O[Cu]	Cc1cccc(C)c1NC(=O)C(=O)O	0.1	C(=O)([O-])[O-].[K+].[K+]	2	CS(=O)C	0.5	80	1.5	63.53	93.96	9	UCB
[Cu]O[Cu]	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.1	C(=O)([O-])[O-].[K+].[K+]	1	CS(=O)C	1	80	1.1	45.67	97.86	9	UCB
[Cu]I	OCCO	0.1	C(=O)([O-])[O-].[K+].[K+]	2	CS(=O)C	0.5	60	1.5	42.19	62.02	9	UCB
Br[Cu]	Cc2ccc1ccccc1c2NC(=O)C(=O)NCc3ccccc3	0.1	C(=O)([O-])[O-].[K+].[K+]	1	OCC	1	80	1.1	61.66	87.63	9	UCB
[Cu]I	OCCO	0.1	[K+].[OH-]	0.5	CS(=O)C	0.5	60	1.5	8.41	45.29	9	UCB
Cl[Cu]	OCCO	0.1	[K+].[OH-]	2	OCC	0.5	60	1.5	0.00	100.00	9	UCB
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	Cc2ccc1ccccc1c2NC(=O)C(=O)NCc3ccccc3	0.1	C(=O)([O-])[O-].[K+].[K+]	0.5	ACN	1	80	1.1	43.53	54.23	9	UCB
Br[Cu]	COc2cc(OC)c(NC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC)c(OC)c2	0.1	[Na+].[O-]C(=O)C	0.5	OCC	1	60	1.1	10.83	16.64	9	UCB
[Cu]I	COc2cc(OC)c(NC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC)c(OC)c2	0.05	C(=O)([O-])[O-].[K+].[K+]	2	CS(=O)C	1	80	1.5	74.90	83.78	10	UCB
Br[Cu]	COc2cc(OC)c(NC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC)c(OC)c2	0.05	C(=O)([O-])[O-].[K+].[K+]	2	CS(=O)C	0.5	80	1.5	67.80	76.69	10	UCB
Br[Cu]	CN(C)CCO	0.05	[K+].[K+].[K+].[O-]P([O-])([O-])=O	2	CS(=O)C	0.5	60	1.5	8.12	30.93	10	UCB
[Cu]I	CN(C)CCO	0.1	[Cs+].[Cs+].[O-]C([O-])=O	0.5	O1C(C)CCC1	1	80	1.1	3.73	21.67	10	UCB
Cl[Cu]	Cc1cccc(C)c1NC(=O)C(=O)O	0.05	C(=O)([O-])[O-].[K+].[K+]	1	O1C(C)CCC1	0.5	80	1.5	1.18	01.07	10	UCB
Br[Cu]	CN(C)CCO	0.05	[K+].[OH-]	2	CC(C)CO	1	60	1.5	0.00	100.00	10	UCB
Cl[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.05	CCN(CC)CC	1	Cc1ccccc1	0.5	80	1.1	0.45	17.05	10	UCB
Cl[Cu]	CN(C)CCO	0.1	[Cs+].[Cs+].[O-]C([O-])=O	1	CC(C)CO	1	60	1.5	4.74	55.10	10	UCB
